size,mflop
31,2947.77
32,3847.49
96,4878.53
97,3953.69
127,1591.22
128,4912.81
129,3836.07
191,1467.76
192,4295.67
229,3406.84
255,3376.74
256,3960.99
257,3444.7
319,3321.72
320,3842.81
321,3350.64
417,3396.44
479,3410.41
480,3918.62
511,3376.14
512,3861.13
639,3423.23
640,3950.15
767,3444.02
768,3969.29
769,3468.23
1023,3496.72
1024,4089.82
1025,3580.06
1525,2744.59
1526,3112.21
1527,2639.03
