size,mflop
31,3644.1
32,5026.23
96,5865.78
97,4768.41
127,4641.82
128,5833.07
129,4667.16
191,4453.42
192,5518.32
229,4350.08
255,4476.89
256,5468.77
257,4633.56
319,4450.36
320,5293.45
321,4446.92
417,4487.23
479,4485.56
480,5406.7
511,4527.34
512,5377.1
639,4548.58
640,5573.66
767,4553.43
768,5653.45
769,4208.37
1023,3518.14
1024,2181.24
1025,1504.65
1525,2582.7
1526,2315.96
1527,2324.14
