size,mflop
31,2848.64
32,3404.31
96,3831.11
97,3733.21
127,3701.5
128,1979.28
129,3852.3
191,3056.57
192,2052.65
229,3038.93
255,3001.31
256,939.456
257,3085.69
319,3023.92
320,1893.6
321,3086.61
417,2952.96
479,2292.44
480,1942.96
511,2689.04
512,932.057
639,1769.55
640,930.282
767,509.295
768,428.468
769,265.161
1023,359.4
1024,652.201
1025,780.799
1525,886.433
1526,902.274
1527,742.33
