size,mflop
31,9193.01
32,11306.4
96,15151.3
97,9596.63
127,8522.64
128,16502.7
129,15946
191,15306.2
192,17299.1
229,17397
255,16722.8
256,18045.4
257,14906.8
319,8839.82
320,17767.1
321,17344.3
417,17592.3
479,17961.8
480,18293.3
511,18082.8
512,17696.9
639,15088.6
640,13670.4
767,17647.9
768,16324.4
769,17068.4
1023,18179.7
1024,18540
1025,13790.3
1525,18149.2
1526,18608.7
1527,18847.4
