size,mflop
31,1585.2
32,1571.77
96,1072.85
97,1634.89
127,1579.94
128,543.554
129,1600.49
191,1252.1
192,621.411
229,1216.85
255,1221.05
256,265.566
257,1225.13
319,815.54
320,596.844
321,809.433
417,621.718
479,619.383
480,613.573
511,604.609
512,188.43
639,626.79
640,405.071
767,636.189
768,266.014
769,633.017
1023,581.557
1024,159.314
1025,581.416
1525,492.361
1526,422.852
1527,327.646
