size,mflop
31,16013
32,20246.1
96,29709.3
97,30220
127,27923.4
128,29223.2
129,28838.9
191,30501.6
192,32454.9
229,32683.4
255,32512.1
256,32628.8
257,31202.7
319,32627.1
320,34405.1
321,33564
417,35085.8
479,34673.7
480,35449.3
511,32786.6
512,32709.4
639,33705.7
640,34455.6
767,34409.8
768,35272.4
769,33231
1023,34821.3
1024,34138.5
1025,33844.8
1525,35027.6
1526,37076.7
1527,32348.7
