size,mflop
31,1617.06
32,1639.77
96,1099.67
97,1704.6
127,1710.76
128,502.301
129,1688.76
191,1382.75
192,651.132
229,1360.01
255,1350.76
256,271.501
257,1360.16
319,676.699
320,615.021
321,823.097
417,667.754
479,663.395
480,644.914
511,632.982
512,189.378
639,464.101
640,271.933
767,206.064
768,205.043
769,275.804
1023,404.017
1024,152.052
1025,378.833
1525,344.29
1526,391.029
1527,336.215
