size,mflop
31,1993.11
32,1728.66
96,1707.16
97,1905.42
127,1851.41
128,1587.66
129,1784.26
191,1637.96
192,1620.32
229,1637.01
255,1670.42
256,818.622
257,1680.67
319,1673.33
320,1518.78
321,1677.21
417,1697.15
479,1697.63
480,1629.97
511,1705.33
512,831.491
639,1682.63
640,848.967
767,1681.74
768,305.376
769,1676.99
1023,1608.2
1024,813.539
1025,1618.8
1525,1553.37
1526,1555.56
1527,1552.73
