size,mflop
31,2013.52
32,1746.51
96,1717.91
97,2032.39
127,2071.57
128,1707.25
129,2006.14
191,1919.23
192,1638.9
229,1883.72
255,1837.14
256,843.195
257,1917.36
319,1850.64
320,1573.04
321,1918.71
417,1778.09
479,1834.26
480,1573.96
511,1742.4
512,828.053
639,1664.47
640,848.788
767,1672.28
768,840.426
769,1638.57
1023,1478.25
1024,543.188
1025,1604.82
1525,1466.87
1526,1458.57
1527,1563.91
