size,mflop
31,2058.99
32,2509.17
96,2500.87
97,2195.08
127,2242.91
128,2302.66
129,2129.26
191,2173.32
192,2433.63
229,2163.01
255,2169.23
256,1832.96
257,2147.22
319,2167.22
320,2386.44
321,2120.5
417,2083.04
479,2076.87
480,2278.32
511,1995.48
512,1297.51
639,1848.88
640,1911.12
767,1900.68
768,1714.4
769,1827.11
1023,1856.91
1024,1221.58
1025,1799.71
1525,1678.39
1526,1927.45
1527,1684.33
